Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
,,,,
رحيم و راحمة,مهدي_سهوان,ذكرى استشهاد فاطمة الزهراء (ع) \nموكب عزاء مسجد فاطمة الزهراء (ع) \nمدينة الزهراء (ع) - البحرين\n\nالتسجيل الصوتي : \nحسين الجمري - مسجد فاطمة الزهراء (ع)\nالهندسة الصوتية : علي مبارك,1439 هـ,موكب عزاء مسجد فاطمة الزهراء (ع) \nمدينة الزهراء (ع) - البحرين\n\nالتسجيل الصوتي : \nحسين الجمري - مسجد فاطمة الزهراء (ع)\nالهندسة الصوتية : علي مبارك
حدثي يا فاطمة,الشيخ_حسين_الأكرف\nذكرى,,1423 هـ,موكب عزاء مأتم الحاج عباس - المنامة
المجهولة قدرا,الشيخ_حسين_الأكرف\nذكرى,,1430 هـ,موكب عزاء الدراز - البحرين\n\nملاحظة : ( الفقرة الاولى ) غير مكتملة بسبب عطل في التسجيل \n\nالهندسة الصوتية : محسن الدقاق
أكتبوني بالعيون,الشيخ_حسين_الأكرف,,1422 هـ,موكب عزاء الدراز - الدراز - البحرين
سكني روع النفوس,الشيخ_حسين_الأكرف,,1416 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء - الدوار الرابع - البحرين
جهزوا نعشا من الاقصى لروح فاطم,"الشيخ_حسين_الأكرف, مهدي_سهوان",,1422 هـ,موكب عزاء مأتم بن سلوم - المنامة
لا ننسى أساها,الشيخ_حسين_الأكرف,,1428 هـ,موكب عزاء مأتم الحاج عباس - المنامة
ماتت فاطمة,مهدي_الخاطر\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع)\nليلة 14 جمادى الأول 1445 هـ\n موكب عزاء واديان - سترة - البحرين\n\nالهندسة الصوتية : علي مبارك\n\nالفقرة الأولى - تروي الاخبار\nالفقرة الثانية - فاضت الروح\nالفقرة الثالثة - أيتامج يزهرا,1445 هـ,موكب عزاء واديان - سترة - البحرين\n\nالهندسة الصوتية : علي مبارك\n\nالفقرة الأولى - تروي الاخبار\nالفقرة الثانية - فاضت الروح\nالفقرة الثالثة - أيتامج يزهرا
علمينا الصبر يا زهراء,"مهدي_سهوان, علي_حمادي\n\nفي",ذكرى استشهاد الزهراء (ع) \nليلة 14 جمادى الأول من عام 1433 هـ\nمسجد فاطمة الزهراء (ع) - مدينة الزهراء 4\n\nالإعادة ما بعد المشاركة في ماتم بن خميس اللتي ضمت علي حمادي و جعفر سهوان\n\nحمادي ميديا,1433 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء 4\n\nالإعادة ما بعد المشاركة في ماتم بن خميس اللتي ضمت علي حمادي و جعفر سهوان\n\nحمادي ميديا
